Fecha,TA_Jur,DTF,IBR,IPC,Cuvr,Auvr
2010-07-01,0.027645999999999997,0.0352,0.03049304500629685,0.0224180323922188,0.09186388195173464,0.09308909663883444
2010-08-01,0.0279675,0.035,0.030444583737480713,0.023114363085415635,0.09090640307003772,0.09258064466773483
2010-09-01,0.02784,0.0347,0.03059987718050189,0.02284638183695487,0.09054967863860895,0.09261890534564979
2010-10-01,0.027808999999999993,0.0345,0.030521704634040914,0.02325073681377419,0.0903596780128324,0.09132156769029652
2010-11-01,0.027536249999999998,0.0344,0.03049043852274975,0.02590982256408976,0.08907077149147653,0.090029315227243
2010-12-01,0.027001333333333332,0.035,0.03064417637749761,0.03171222219904238,0.08968929755017392,0.09055110336385766
2011-01-01,0.02736125,0.0348,0.030641570411475028,0.03399373830869507,0.08959454896110909,0.09029137380046409
2011-02-01,0.027014999999999997,0.0346,0.030766662392849142,0.03167746940411122,0.08962468737358094,0.08962869658222374
2011-03-01,0.0282975,0.0359,0.03441874041476032,0.03186443847958801,0.08884668361536732,0.0897162493259673
2011-04-01,0.030069333333333337,0.0374,0.03643122194680004,0.028359513506680135,0.08833043703943126,0.08997705801627637
2011-05-01,0.03337,0.0388,0.03925027288168224,0.030224406765082097,0.08880191666555354,0.08934858495400672
2011-06-01,0.03391375,0.041,0.042227244539693454,0.03232590109235866,0.08937515827039495,0.08975295924733741
2011-07-01,0.03669,0.0421,0.04376029541945292,0.03419624284381818,0.08925063025653483,0.08977914457550577
2011-08-01,0.03895625,0.0449,0.04625852276793489,0.03271693783093789,0.08915867931681427,0.08967734190097007
2011-09-01,0.038388,0.0461,0.04574181890859652,0.03731344798295969,0.08908823135315963,0.08969258200718278
2011-10-01,0.038941250000000004,0.0472,0.045958399485007684,0.04019949222825748,0.08920542218557916,0.090389640607514
2011-11-01,0.0405525,0.0508,0.04651464669105008,0.039629736973475126,0.08912871176449601,0.08987573891124695
2011-12-01,0.041489,0.0512,0.04821906783585883,0.03725786730749874,0.08918269914041886,0.08971234630748465
2012-01-01,0.04167125,0.0513,0.0483575210179434,0.03543095800488015,0.09640075469620796,0.10698591149350395
2012-02-01,0.043734999999999996,0.0527,0.05082681111568399,0.035515277768963384,0.09924820108686001,0.1076356330679948
2012-03-01,0.044855,0.0536,0.05253068686050166,0.03399205197098048,0.10006816100889551,0.10740651091763467
2012-04-01,0.04575125,0.0547,0.05259976177186343,0.034252199673800686,0.10210143881647767,0.10914388648987136
2012-05-01,0.045981249999999994,0.0545,0.05267681249250056,0.034409279242816775,0.1010130468055474,0.1061659543529957
2012-06-01,0.046128999999999996,0.0545,0.05283890404391639,0.03198483643053069,0.10197196624190327,0.10583996119192729
2012-07-01,0.046107499999999996,0.0544,0.05312130113317646,0.03033025848308045,0.09901855906592721,0.09710934066383438
2012-08-01,0.047584,0.0541,0.0498542495281295,0.031072119444308186,0.09676141547080405,0.10397852010493736
2012-09-01,0.045055,0.0532,0.04688763715019678,0.030841605289039828,0.09396091319157279,0.10208460527364521
2012-10-01,0.044482499999999994,0.0542,0.047447884265060955,0.030570146469676963,0.09171274205569366,0.10009176760397917
2012-11-01,0.043957,0.0531,0.046758419496397655,0.02773111429148621,0.08986885621043857,0.10262260560307496
2012-12-01,0.04383625,0.0522,0.044371333841553146,0.024353447407138663,0.087313518434525,0.10410230321099888
2013-01-01,0.042535416666666666,0.0512,0.04067021428329501,0.019952920571683165,0.09419113026769363,0.10116212701291523
2013-02-01,0.04195,0.0482,0.038309791666149756,0.018263690484353057,0.0941434988089169,0.10340625123624336
2013-03-01,0.04118,0.0457,0.03552938251310535,0.01911469599455914,0.08833661507506455,0.1030990324315503
2013-04-01,0.035575,0.0421,0.0315349111956049,0.020219525795814597,0.0892969160025919,0.10282554610123533
2013-05-01,0.033800000000000004,0.0398,0.03201240135930685,0.020002551630428207,0.089836034932137,0.09768829338397195
2013-06-01,0.0316,0.0394,0.0322527511178366,0.021552180851589452,0.08471979521988329,0.09823582045472325
2013-07-01,0.029200000000000004,0.0398,0.03214077869563158,0.02223142591931248,0.0856551770802076,0.09517604463310626
2013-08-01,0.02948,0.0407,0.03262794406821717,0.02266459318187036,0.08587530154962383,0.0961634036191124
2013-09-01,0.029325,0.0407,0.03206025686660136,0.02273176173573264,0.08338045537961619,0.09674591839421
2013-10-01,0.028749999999999998,0.0402,0.0325307846601644,0.018413065711674306,0.08615716467874993,0.09552677587605418
2013-11-01,0.028199999999999996,0.0403,0.03249663555996175,0.01760203149974012,0.08255117266240937,0.0905558340332629
2013-12-01,0.02715,0.0406,0.03231238642765116,0.01937815402209959,0.08982261891751103,0.09375087135709663
2014-01-01,0.0269,0.0403,0.03248371744216853,0.021291549261427147,0.08754498416232077,0.10012433893508345
2014-02-01,0.0264,0.0397,0.03268785326625111,0.023189137902953166,0.08430711974726499,0.09294144736141315
2014-03-01,0.02465,0.0389,0.03219544232860325,0.025113384654627327,0.08652241762478154,0.09861953831505377
2014-04-01,0.024399999999999998,0.0381,0.03263620946481946,0.02720724068479351,0.08373749653597334,0.09194082342068068
2014-05-01,0.02492,0.0379,0.03636940517559213,0.029307657745775078,0.08392579464562011,0.08578499343200528
2014-06-01,0.0255,0.0394,0.03925681864690125,0.027853163679281506,0.07707019447648933,0.08342730489455415
2014-07-01,0.026425,0.0406,0.04086744980798448,0.028946441333784923,0.078526799011739,0.08003451943908496
2014-08-01,0.026279999999999998,0.0404,0.042750486604568955,0.030177716675934097,0.07747785748449616,0.07999084359097484
2014-09-01,0.026074999999999997,0.0426,0.04466940727412799,0.028564434904080695,0.07350907802629812,0.07904102915042123
2014-10-01,0.026000000000000002,0.0433,0.04484480172578594,0.03294073305826274,0.0712279533146722,0.07796221208522984
2014-11-01,0.025475,0.0436,0.044998326760571264,0.03654358200537735,0.07301474086777855,0.07621270832528923
2014-12-01,0.02585,0.0434,0.044978993340180594,0.03657679436557955,0.07001167319437718,0.07830374846707047
2015-01-01,0.02616,0.0447,0.04505798683888911,0.03820707199905586,0.07162349635863062,0.07974707397647336
2015-02-01,0.027500000000000004,0.0445,0.04502290939212261,0.0435599613840937,0.0698753531291604,0.07298751183917311
2015-03-01,0.027225,0.0441,0.04498416984378436,0.04555199139115835,0.06414903488614745,0.07413936839530817
