TA_Jur,DTF,IBR,IPC,Cuvr,Auvr
-0.00041474999999999845,-0.00010000000000000286,0.0009559623391214647,0.0014133344242623705,-0.0005940186580352808,-0.0007286908116348745
-0.001584000000000002,-0.0029,-0.004563411963567354,0.0009095583723233297,-0.0017278324590956212,-0.000988358980296325
-0.0008362499999999967,-0.000899999999999998,8.335980921658076e-06,0.0017333704416665763,-0.0006934495852365247,-0.000267696071217044
-0.0002777500000000037,-0.0001999999999999988,8.806579894914471e-05,-3.3308770532550214e-05,-0.00011778029050121819,0.00023630684769197774
0.00032150000000000234,-0.0001999999999999988,-4.846126881613566e-05,0.0006963306931968352,-0.0009574788816969215,-0.0005084519710996105
-0.00012749999999999914,-0.00030000000000000165,0.0001552934430211761,-0.0002679812484607663,-0.0003567244314287704,3.8260677914958574e-05
-3.100000000000672e-05,-0.0001999999999999988,-7.817254646097505e-05,0.0004043549768193225,-0.0001900006257765513,-0.0012973376553532673
-0.0002727499999999952,-0.00010000000000000286,-3.126611129116233e-05,0.0026590857503155686,-0.0012889065213558676,-0.0012922524630535198
-0.0005349166666666662,0.0006000000000000033,0.0001537378547478603,0.005802399634952618,0.0006185260586973884,0.0005217881366146593
0.0003599166666666681,-0.00020000000000000573,-2.6059660225841164e-06,0.002281516109652694,-9.47485890648303e-05,-0.0002597295633935681
-0.0003462500000000028,-0.0001999999999999988,0.0001250919813741147,-0.0023162689045838486,3.0138412471847342e-05,-0.0006626772182403567
0.0012825000000000024,0.0013000000000000025,0.0036520780219111773,0.00018696907547678665,-0.0007780037582136162,8.755274374357136e-05
0.001771833333333337,0.0015000000000000013,0.0020124815320397213,-0.0035049249729078753,-0.0005162465759360607,0.0002608086903090612
0.00330066666666666,0.0013999999999999985,0.002819050934882196,0.0018648932584019624,0.0004714796261222759,-0.0006284730622696522
0.0005437500000000026,0.0022000000000000006,0.002976971658011217,0.0021014943272765624,0.0005732416048414152,0.0004043742933306921
0.002776250000000001,0.0010999999999999968,0.0015330508797594677,0.0018703417514595172,-0.00012452801386012013,2.6185328168365496e-05
0.0022662499999999974,0.002800000000000004,0.002498227348481971,-0.0014793050128802873,-9.195093972055868e-05,-0.00010180267453570313
